String Length (l),Initial Detectors (N),Matching Threshold (r),Repetition,Generation,Mean Pathogen Fitness,Mean Protein Score,Unique Detectors,Detector Shannon,Detector Hamming,Unique Pathogens,Pathogen Shannon,Pathogen Hamming,Active Detectors,Average Detector Coverage
5,500,2,2,26,0.0,0.4974,13,2.5524310513074857,2.064609218436874,32,3.4479134666275257,2.5006226226226227,500,0.5936959999999999
5,500,2,2,27,0.0,0.49820000000000003,13,2.5524310513074857,2.064609218436874,32,3.4498427279613013,2.5016276276276277,500,0.5963579999999999
5,500,2,2,28,0.0,0.5088,13,2.5524310513074857,2.064609218436874,32,3.4499575340944344,2.50014014014014,500,0.600222
5,500,2,2,29,0.0,0.49960000000000004,13,2.5524310513074857,2.064609218436874,32,3.442599023377226,2.500248248248248,500,0.5946719999999999
5,500,2,2,30,0.0,0.49260000000000004,13,2.5524310513074857,2.064609218436874,32,3.447742880821729,2.4995095095095095,500,0.5921859999999999
5,500,2,2,31,0.0,0.5008,13,2.5524310513074857,2.064609218436874,32,3.449216470273967,2.499055055055055,500,0.594328
5,500,2,2,32,0.0,0.5068,13,2.5524310513074857,2.064609218436874,32,3.452051927655597,2.5008048048048046,500,0.599646
5,500,2,2,33,0.0,0.503,13,2.5524310513074857,2.064609218436874,32,3.4494769089939195,2.4995815815815816,500,0.6034919999999999
5,500,2,2,34,0.0,0.489,13,2.5524310513074857,2.064609218436874,32,3.4425763002541023,2.4972992992992995,500,0.590354
5,500,2,2,35,0.0,0.49960000000000004,13,2.5524310513074857,2.064609218436874,32,3.4461493354239296,2.4973093093093093,500,0.59246
5,500,2,2,36,0.0,0.5038,13,2.5524310513074857,2.064609218436874,32,3.4442863019954166,2.4962262262262263,500,0.6007160000000001
5,500,2,2,37,0.0,0.5052,13,2.5524310513074857,2.064609218436874,32,3.4487605677305426,2.5013853853853854,500,0.59825
5,500,2,2,38,0.0,0.49920000000000003,13,2.5524310513074857,2.064609218436874,32,3.450739331432439,2.500016016016016,500,0.596114
5,500,2,2,39,0.0,0.5046,13,2.5524310513074857,2.064609218436874,32,3.4512899287455276,2.4998378378378376,500,0.5958419999999999
5,500,2,2,40,0.0,0.5004000000000001,13,2.5524310513074857,2.064609218436874,32,3.443309899730444,2.498702702702703,500,0.597576
5,500,2,2,41,0.0,0.49960000000000004,13,2.5524310513074857,2.064609218436874,32,3.4488620046610556,2.496964964964965,500,0.5919220000000001
5,500,2,2,42,0.0,0.5056,13,2.5524310513074857,2.064609218436874,32,3.4424994625094723,2.498706706706707,500,0.600786
5,500,2,2,43,0.0,0.5,13,2.5524310513074857,2.064609218436874,32,3.4547660225383314,2.5013293293293293,500,0.593168
5,500,2,2,44,0.0,0.5066,13,2.5524310513074857,2.064609218436874,32,3.452311594502448,2.4986206206206205,500,0.602236
5,500,2,2,45,0.0,0.5,13,2.5524310513074857,2.064609218436874,32,3.4467004281076488,2.501857857857858,500,0.593234
5,500,2,2,46,0.0,0.5028,13,2.5524310513074857,2.064609218436874,32,3.4472232961485583,2.5003523523523525,500,0.599292
5,500,2,2,47,0.0,0.5062,13,2.5524310513074857,2.064609218436874,32,3.4457404155383005,2.5005545545545544,500,0.598616
5,500,2,2,48,0.0,0.5008,13,2.5524310513074857,2.064609218436874,32,3.445442262191006,2.4983983983983986,500,0.589204
5,500,2,2,49,0.0,0.5002000000000001,13,2.5524310513074857,2.064609218436874,32,3.4477409173523763,2.4981561561561563,500,0.59563
